Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Skill moves,Age,Nation,League,Team,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
52,Neymar Jr,87,85,79,84,92,37,60,LW,5,32,Brazil,ROSHN Saudi League,Al Hilal,,,,,
53,Declan Rice,87,73,72,82,79,84,85,CDM,3,25,England,Premier League,Arsenal,,,,,
55,Frenkie de Jong,87,82,69,86,87,77,78,CM,4,27,Holland,LALIGA EA SPORTS,FC Barcelona,,,,,
56,Mike Maignan,87,84,83,85,88,64,84,GK,1,29,France,Serie A Enilive,Milano FC,84.0,83.0,85.0,84.0,88.0
57,Bruno Fernandes,87,70,85,88,83,65,75,CAM,4,30,Portugal,Premier League,Man Utd,,,,,
60,Heung Min Son,87,87,89,81,85,42,73,ST,4,32,Korea Republic,Premier League,Spurs,,,,,
61,Marquinhos,87,79,56,75,74,89,81,CB,3,30,Brazil,Ligue 1 McDonald's,Paris SG,,,,,
62,Alessandro Bastoni,87,75,43,75,76,87,83,CB,2,25,Italy,Serie A Enilive,Lombardia FC,,,,,
63,İlkay Gündoğan,87,62,83,85,87,74,73,CM,4,33,Germany,Premier League,Manchester City,,,,,
65,Emiliano Martínez,87,84,82,83,86,56,87,GK,1,32,Argentina,Premier League,Aston Villa,84.0,82.0,83.0,87.0,86.0
66,Nicolò Barella,87,81,78,83,86,80,82,CM,3,27,Italy,Serie A Enilive,Lombardia FC,,,,,
67,Yann Sommer,87,83,84,85,89,50,86,GK,1,35,Switzerland,Serie A Enilive,Lombardia FC,83.0,84.0,85.0,86.0,89.0
68,Cristiano Ronaldo,86,77,88,77,80,34,77,ST,5,39,Portugal,ROSHN Saudi League,Al Nassr,,,,,
69,Gabriel,86,69,41,63,61,86,82,CB,2,26,Brazil,Premier League,Arsenal,,,,,
70,Granit Xhaka,86,50,75,85,74,79,82,CDM,3,31,Switzerland,Bundesliga,Leverkusen,,,,,
72,Rodrygo,86,89,81,79,88,31,64,RW,4,23,Brazil,LALIGA EA SPORTS,Real Madrid,,,,,
73,João Cancelo,86,81,73,85,85,80,72,LB,4,30,Portugal,ROSHN Saudi League,Al Hilal,,,,,
74,Rafael Leão,86,94,79,80,87,28,77,LW,5,25,Portugal,Serie A Enilive,Milano FC,,,,,
76,Grimaldo,86,74,73,88,85,76,71,LM,4,28,Spain,Bundesliga,Leverkusen,,,,,
77,Luka Modrić,86,72,76,88,87,71,64,CM,4,39,Croatia,LALIGA EA SPORTS,Real Madrid,,,,,
79,Alexis Mac Allister,86,69,82,85,84,76,76,CM,3,25,Argentina,Premier League,Liverpool,,,,,
81,Carvajal,86,81,58,79,81,81,79,RB,3,32,Spain,LALIGA EA SPORTS,Real Madrid,,,,,
83,Ousmane Dembélé,86,92,75,82,88,41,57,RW,5,27,France,Ligue 1 McDonald's,Paris SG,,,,,
86,Trent Alexander-Arnold,86,75,72,90,80,80,74,RB,3,25,England,Premier League,Liverpool,,,,,
87,Pedri,86,77,69,82,88,70,74,CM,4,21,Spain,LALIGA EA SPORTS,FC Barcelona,,,,,
89,Jonathan Tah,86,71,38,60,62,86,84,CB,2,28,Germany,Bundesliga,Leverkusen,,,,,
90,Karim Benzema,86,77,85,81,84,38,77,ST,4,36,France,ROSHN Saudi League,Al Ittihad,,,,,
91,Bremer,86,82,50,58,66,86,85,CB,2,27,Brazil,Serie A Enilive,Juventus,,,,,
92,Joshua Kimmich,86,69,74,88,84,81,77,RB,3,29,Germany,Bundesliga,FC Bayern München,,,,,
94,Unai Simón,86,85,81,78,86,49,85,GK,1,27,Spain,LALIGA EA SPORTS,Athletic Club,85.0,81.0,78.0,85.0,86.0
97,Manuel Neuer,86,83,81,90,83,49,88,GK,1,38,Germany,Bundesliga,FC Bayern München,83.0,81.0,90.0,88.0,83.0
100,Hakan Çalhanoğlu,86,71,80,87,85,79,76,CDM,4,30,Turkey,Serie A Enilive,Lombardia FC,,,,,
101,David Alaba,85,79,71,83,80,85,77,CB,3,32,Austria,LALIGA EA SPORTS,Real Madrid,,,,,
101,Ronald Araujo,85,82,53,64,62,85,84,CB,2,25,Uruguay,LALIGA EA SPORTS,FC Barcelona,,,,,
101,Julian Brandt,85,71,79,85,86,50,70,CAM,4,28,Germany,Bundesliga,Borussia Dortmund,,,,,
101,Éder Militão,85,85,50,69,71,85,82,CB,2,26,Brazil,LALIGA EA SPORTS,Real Madrid,,,,,
101,Bruno Guimarães,85,68,75,83,84,79,83,CDM,3,26,Brazil,Premier League,Newcastle Utd,,,,,
101,Alexander Isak,85,85,84,73,86,39,74,ST,4,24,Sweden,Premier League,Newcastle Utd,,,,,
101,N'Golo Kanté,85,76,65,73,80,85,78,CDM,2,33,France,ROSHN Saudi League,Al Ittihad,,,,,
101,Jules Koundé,85,84,45,70,75,86,80,RB,3,25,France,LALIGA EA SPORTS,FC Barcelona,,,,,
101,Khvicha Kvaratskhelia,85,86,79,80,86,41,71,LW,5,23,Georgia,Serie A Enilive,SSC Napoli,,,,,
101,Vitinha,85,72,77,84,87,73,68,CM,3,24,Portugal,Ligue 1 McDonald's,Paris SG,,,,,
101,James Maddison,85,71,81,86,86,54,63,CAM,4,27,England,Premier League,Spurs,,,,,
101,Riyad Mahrez,85,79,81,81,88,39,62,RM,5,33,Algeria,ROSHN Saudi League,Al Ahli,,,,,
101,Giorgi Mamardashvili,85,86,83,72,85,48,85,GK,1,23,Georgia,LALIGA EA SPORTS,Valencia CF,86.0,83.0,72.0,85.0,85.0
101,Mikel Merino,85,72,79,82,82,83,82,CM,3,28,Spain,Premier League,Arsenal,,,,,
101,Sergej Milinković-Savić,85,64,80,81,82,78,88,CM,4,29,Serbia,ROSHN Saudi League,Al Hilal,,,,,
101,Loïs Openda,85,93,84,69,81,31,79,ST,3,24,Belgium,Bundesliga,RB Leipzig,,,,,
101,Palhinha,85,52,68,72,74,85,90,CDM,2,29,Portugal,Bundesliga,FC Bayern München,,,,,
101,Cole Palmer,85,75,82,83,86,50,66,RM,4,22,England,Premier League,Chelsea,,,,,
101,Andrew Robertson,85,78,61,82,79,81,78,LB,3,30,Scotland,Premier League,Liverpool,,,,,
101,Leroy Sané,85,90,83,80,86,37,70,RM,4,28,Germany,Bundesliga,FC Bayern München,,,,,
101,Nico Schlotterbeck,85,77,59,70,73,85,82,CB,2,24,Germany,Bundesliga,Borussia Dortmund,,,,,
101,John Stones,85,69,58,75,79,85,77,CB,3,30,England,Premier League,Manchester City,,,,,
101,Aurélien Tchouaméni,85,73,69,79,78,82,82,CDM,3,24,France,LALIGA EA SPORTS,Real Madrid,,,,,
101,Diogo Jota,85,82,82,75,84,57,79,ST,4,27,Portugal,Premier League,Liverpool,,,,,
101,Sandro Tonali,85,84,74,81,81,82,82,CDM,3,24,Italy,Premier League,Newcastle Utd,,,,,
101,Ollie Watkins,85,85,83,73,80,50,83,ST,3,28,England,Premier League,Aston Villa,,,,,
101,Nico Williams,85,93,75,78,86,36,65,LM,4,22,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
149,Francesco Acerbi,84,60,50,64,65,86,80,CB,3,36,Italy,Serie A Enilive,Lombardia FC,,,,,
149,Manuel Akanji,84,78,48,71,75,85,82,CB,2,29,Switzerland,Premier League,Manchester City,,,,,
149,Nathan Aké,84,76,53,72,75,84,77,CB,2,29,Holland,Premier League,Manchester City,,,,,
149,Julián Álvarez,84,85,84,80,85,57,78,ST,4,24,Argentina,LALIGA EA SPORTS,Atlético de Madrid,,,,,
149,Iago Aspas,84,81,86,79,86,35,65,ST,3,37,Spain,LALIGA EA SPORTS,RC Celta,,,,,
149,Yassine Bounou,84,81,82,77,86,38,83,GK,1,33,Morocco,ROSHN Saudi League,Al Hilal,81.0,82.0,77.0,83.0,86.0
149,Federico Chiesa,84,93,83,76,86,52,75,RW,4,26,Italy,Premier League,Liverpool,,,,,
149,Kingsley Coman,84,89,75,79,87,30,62,LM,5,28,France,Bundesliga,FC Bayern München,,,,,
149,Rúben Neves,84,57,75,86,77,77,77,CDM,3,27,Portugal,ROSHN Saudi League,Al Hilal,,,,,
149,Matthijs de Ligt,84,62,61,63,67,85,83,CB,2,25,Holland,Premier League,Man Utd,,,,,
149,Rodrigo De Paul,84,76,77,83,82,76,82,CM,4,30,Argentina,LALIGA EA SPORTS,Atlético de Madrid,,,,,
149,Raphinha,84,91,79,78,86,53,73,RW,4,27,Brazil,LALIGA EA SPORTS,FC Barcelona,,,,,
149,Luis Díaz,84,90,80,75,87,39,75,LW,4,27,Colombia,Premier League,Liverpool,,,,,
149,Federico Dimarco,84,80,77,84,83,78,81,LB,3,26,Italy,Serie A Enilive,Lombardia FC,,,,,
149,Artem Dovbyk,84,84,85,69,79,34,81,ST,3,27,Ukraine,Serie A Enilive,AS Roma,,,,,
149,Jeremie Frimpong,84,93,62,75,86,75,69,RM,3,23,Holland,Bundesliga,Leverkusen,,,,,
149,Aleix García,84,67,77,85,84,76,68,CM,3,27,Spain,Bundesliga,Leverkusen,,,,,
149,Jack Grealish,84,76,76,82,88,53,73,LW,4,29,England,Premier League,Manchester City,,,,,
149,Serhou Guirassy,84,69,86,71,80,39,79,ST,3,28,Guinea,Bundesliga,Borussia Dortmund,,,,,
149,Viktor Gyökeres,84,90,83,67,80,36,91,ST,3,26,Sweden,Liga Portugal,Sporting CP,,,,,
149,Achraf Hakimi,84,91,76,80,80,75,78,RB,4,25,Morocco,Ligue 1 McDonald's,Paris SG,,,,,
149,Lukáš Hrádecký,84,85,80,69,87,40,82,GK,1,34,Finland,Bundesliga,Leverkusen,85.0,80.0,69.0,82.0,87.0
149,Kalidou Koulibaly,84,76,48,64,67,85,84,CB,3,33,Senegal,ROSHN Saudi League,Al Hilal,,,,,
149,Sadio Mané,84,83,81,78,86,44,75,LM,4,32,Senegal,ROSHN Saudi League,Al Nassr,,,,,
149,Lisandro Martínez,84,71,59,78,79,85,81,CB,3,26,Argentina,Premier League,Man Utd,,,,,
149,Diogo Costa,84,83,78,82,86,35,83,GK,1,24,Portugal,Liga Portugal,FC Porto,83.0,78.0,82.0,83.0,86.0
149,Ferland Mendy,84,89,64,76,76,81,85,LB,4,29,France,LALIGA EA SPORTS,Real Madrid,,,,,
149,Christopher Nkunku,84,81,81,81,86,60,67,CAM,5,26,France,Premier League,Chelsea,,,,,
149,Dani Olmo,84,73,77,82,87,50,57,CAM,4,26,Spain,LALIGA EA SPORTS,FC Barcelona,,,,,
149,Exequiel Palacios,84,69,76,79,82,82,73,CM,3,25,Argentina,Bundesliga,Leverkusen,,,,,
149,Benjamin Pavard,84,75,67,75,75,86,81,CB,3,28,France,Serie A Enilive,Lombardia FC,,,,,
149,Álex Remiro,84,84,79,80,86,42,86,GK,1,29,Spain,LALIGA EA SPORTS,Real Sociedad,84.0,79.0,80.0,86.0,86.0
149,Cristian Romero,84,68,46,59,66,85,81,CB,3,26,Argentina,Premier League,Spurs,,,,,
149,Marcel Sabitzer,84,76,84,81,82,75,79,CM,3,30,Austria,Bundesliga,Borussia Dortmund,,,,,
149,Casemiro,84,38,74,77,69,82,82,CDM,2,32,Brazil,Premier League,Man Utd,,,,,
149,Guglielmo Vicario,84,84,80,79,87,52,84,GK,1,27,Italy,Premier League,Spurs,84.0,80.0,79.0,84.0,87.0
149,Dušan Vlahović,84,78,84,69,79,29,83,ST,3,24,Serbia,Serie A Enilive,Juventus,,,,,
149,Kyle Walker,84,89,64,77,78,79,81,RB,3,34,England,Premier League,Manchester City,,,,,
149,Benjamin White,84,73,35,77,78,83,80,RB,2,26,England,Premier League,Arsenal,,,,,
222,Marcos Acuña,83,74,74,82,82,80,84,LB,3,32,Argentina,Libertadores,River Plate,,,,,
222,Robert Andrich,83,54,77,76,73,83,83,CDM,2,29,Germany,Bundesliga,Leverkusen,,,,,
222,Ismaël Bennacer,83,77,73,82,85,78,75,CDM,3,26,Algeria,Serie A Enilive,Milano FC,,,,,
222,Domenico Berardi,83,79,81,78,85,36,70,RW,4,30,Italy,Serie BKT,Sassuolo,,,,,
222,Eduardo Camavinga,83,80,67,81,84,78,80,CM,4,21,France,LALIGA EA SPORTS,Real Madrid,,,,,
222,Yannick Carrasco,83,88,81,80,85,59,67,LW,4,31,Belgium,ROSHN Saudi League,Al Shabab,,,,,
222,Andreas Christensen,83,67,32,68,71,85,76,CB,2,28,Denmark,LALIGA EA SPORTS,FC Barcelona,,,,,
222,Stefan de Vrij,83,62,41,65,69,85,75,CB,2,32,Holland,Serie A Enilive,Lombardia FC,,,,,
222,Ángel Di María,83,76,80,85,88,48,66,RM,5,36,Argentina,Liga Portugal,SL Benfica,,,,,
222,Moussa Diaby,83,95,75,74,86,43,53,RM,4,25,France,ROSHN Saudi League,Al Ittihad,,,,,
222,Youssef En-Nesyri,83,82,82,63,77,36,80,ST,3,27,Morocco,Trendyol Süper Lig,Fenerbahçe,,,,,
222,Rafa,83,93,77,77,86,50,54,CAM,4,31,Portugal,Trendyol Süper Lig,Beşiktaş,,,,,
222,Cody Gakpo,83,82,83,78,83,48,75,ST,4,25,Holland,Premier League,Liverpool,,,,,
222,José María Giménez,83,71,46,58,61,85,82,CB,2,29,Uruguay,LALIGA EA SPORTS,Atlético de Madrid,,,,,
222,Olivier Giroud,83,45,84,74,75,42,81,ST,3,37,France,MLS,LAFC,,,,,
222,Leon Goretzka,83,70,80,80,81,80,85,CM,3,29,Germany,Bundesliga,FC Bayern München,,,,,
222,Joško Gvardiol,83,79,69,74,78,83,83,LB,3,22,Croatia,Premier League,Manchester City,,,,,
222,Kai Havertz,83,77,81,80,82,49,72,ST,4,25,Germany,Premier League,Arsenal,,,,,
222,Lucas Hernández,83,74,54,72,71,84,78,CB,2,28,France,Ligue 1 McDonald's,Paris SG,,,,,
222,Mauro Icardi,83,68,83,71,76,40,75,ST,3,31,Argentina,Trendyol Süper Lig,Galatasaray,,,,,
222,Kim Min Jae,83,76,33,57,63,85,83,CB,2,27,Korea Republic,Bundesliga,FC Bayern München,,,,,
222,Ibrahima Konaté,83,75,34,59,68,83,84,CB,3,25,France,Premier League,Liverpool,,,,,
222,Teun Koopmeiners,83,66,78,83,78,75,78,CM,3,26,Holland,Serie A Enilive,Juventus,,,,,
222,Mateo Kovačić,83,69,67,82,87,71,70,CM,4,30,Croatia,Premier League,Manchester City,,,,,
222,Konrad Laimer,83,80,69,77,77,82,78,CDM,3,27,Austria,Bundesliga,FC Bayern München,,,,,
222,Aymeric Laporte,83,55,50,74,70,85,76,CB,2,30,Spain,ROSHN Saudi League,Al Nassr,,,,,
222,Robin Le Normand,83,62,26,54,60,84,79,CB,2,27,Spain,LALIGA EA SPORTS,Atlético de Madrid,,,,,
222,Marcos Llorente,83,89,79,78,80,79,81,RM,3,29,Spain,LALIGA EA SPORTS,Atlético de Madrid,,,,,
222,Manuel Locatelli,83,64,70,80,78,79,80,CDM,3,26,Italy,Serie A Enilive,Juventus,,,,,
222,Donyell Malen,83,89,81,74,85,35,72,RM,4,25,Holland,Bundesliga,Borussia Dortmund,,,,,
222,Gabriel Martinelli,83,89,78,75,85,46,72,LW,4,23,Brazil,Premier League,Arsenal,,,,,
222,Henrikh Mkhitaryan,83,78,79,82,84,72,77,CM,4,35,Armenia,Serie A Enilive,Lombardia FC,,,,,
222,Morata,83,82,81,73,80,31,79,ST,3,31,Spain,Serie A Enilive,Milano FC,,,,,
222,Gerard Moreno,83,77,85,77,81,46,72,ST,3,32,Spain,LALIGA EA SPORTS,Villarreal CF,,,,,
222,André Onana,83,83,75,87,86,61,79,GK,1,28,Cameroon,Premier League,Man Utd,83.0,75.0,87.0,79.0,86.0
222,Willi Orban,83,58,36,56,56,85,78,CB,2,31,Hungary,Bundesliga,RB Leipzig,,,,,
222,Gavi,83,76,66,78,85,68,70,CM,3,20,Spain,LALIGA EA SPORTS,FC Barcelona,,,,,
222,Parejo,83,52,80,88,78,74,69,CM,3,35,Spain,LALIGA EA SPORTS,Villarreal CF,,,,,
222,Lorenzo Pellegrini,83,79,78,83,83,74,78,CAM,3,28,Italy,Serie A Enilive,AS Roma,,,,,
222,Pedro Gonçalves,83,78,82,84,84,63,68,LW,4,26,Portugal,Liga Portugal,Sporting CP,,,,,
222,Jordan Pickford,83,83,78,88,87,53,80,GK,1,30,England,Premier League,Everton,83.0,78.0,88.0,80.0,87.0
222,Nick Pope,83,82,82,75,85,49,82,GK,1,32,England,Premier League,Newcastle Utd,82.0,82.0,75.0,82.0,85.0
222,Pedro Porro,83,82,73,80,81,78,77,RB,3,25,Spain,Premier League,Spurs,,,,,
222,Ivan Provedel,83,84,79,80,85,42,84,GK,1,30,Italy,Serie A Enilive,Latium,84.0,79.0,80.0,84.0,85.0
222,Christian Pulisic,83,88,82,78,86,37,63,RW,4,25,United States,Serie A Enilive,Milano FC,,,,,
222,David Raya,83,82,81,86,82,57,81,GK,1,28,Spain,Premier League,Arsenal,82.0,81.0,86.0,81.0,82.0
222,Koke,83,69,72,84,79,77,78,CDM,3,32,Spain,LALIGA EA SPORTS,Atlético de Madrid,,,,,
222,Guido Rodríguez,83,51,58,72,70,85,80,CDM,2,29,Argentina,Premier League,West Ham,,,,,
222,Alessio Romagnoli,83,64,40,56,69,85,79,CB,2,29,Italy,Serie A Enilive,Latium,,,,,
222,Xavi Simons,83,81,77,80,86,61,71,CAM,4,21,Holland,Bundesliga,RB Leipzig,,,,,
222,Douglas Luiz,83,66,78,85,80,75,76,CM,3,26,Brazil,Serie A Enilive,Juventus,,,,,
222,Dušan Tadić,83,64,79,85,81,43,78,LM,4,35,Serbia,Trendyol Süper Lig,Fenerbahçe,,,,,
222,Edmond Tapsoba,83,75,54,68,70,85,79,CB,2,25,Burkina Faso,Bundesliga,Leverkusen,,,,,
222,Nuno Mendes,83,89,58,76,82,78,76,LB,3,22,Portugal,Ligue 1 McDonald's,Paris SG,,,,,
222,Marcus Thuram,83,87,81,77,82,50,84,ST,3,27,France,Serie A Enilive,Lombardia FC,,,,,
222,Fikayo Tomori,83,84,40,60,68,85,80,CB,2,26,England,Serie A Enilive,Milano FC,,,,,
222,Lucas Torreira,83,76,69,78,81,81,81,CDM,3,28,Uruguay,Trendyol Süper Lig,Galatasaray,,,,,
222,Kieran Trippier,83,67,65,85,78,81,72,RB,3,33,England,Premier League,Newcastle Utd,,,,,
222,Leandro Trossard,83,82,81,80,85,30,61,LW,4,29,Belgium,Premier League,Arsenal,,,,,
222,Viktor Tsygankov,83,85,80,81,82,46,62,RM,4,26,Ukraine,LALIGA EA SPORTS,Girona FC,,,,,
222,Mattia Zaccagni,83,87,77,75,88,57,66,LW,4,29,Italy,Serie A Enilive,Latium,,,,,
222,Duván Zapata,83,73,82,64,78,35,88,ST,3,33,Colombia,Serie A Enilive,Torino,,,,,
322,Isco,82,66,74,82,83,59,59,CAM,4,32,Spain,LALIGA EA SPORTS,Real Betis,,,,,
322,Joelinton,82,76,72,76,82,81,89,CM,3,28,Brazil,Premier League,Newcastle Utd,,,,,
322,Pepê,82,87,74,75,85,62,62,CAM,4,27,Brazil,Liga Portugal,FC Porto,,,,,
322,Pierre-Emerick Aubameyang,82,84,83,72,78,35,63,ST,4,35,Gabon,ROSHN Saudi League,Al Qadisiyah,,,,,
322,Leon Bailey,82,90,78,77,86,38,62,RM,4,27,Jamaica,Premier League,Aston Villa,,,,,
322,Oliver Baumann,82,81,80,78,83,39,79,GK,1,34,Germany,Bundesliga,TSG Hoffenheim,81.0,80.0,78.0,79.0,83.0
322,Victor Boniface,82,73,83,66,80,38,82,ST,3,23,Nigeria,Bundesliga,Leverkusen,,,,,
322,Sven Botman,82,60,37,63,65,83,83,CB,2,24,Holland,Premier League,Newcastle Utd,,,,,
322,Jarrod Bowen,82,77,81,76,81,46,70,RM,4,27,England,Premier League,West Ham,,,,,
322,Marcelo Brozović,82,66,74,79,80,80,80,CDM,3,31,Croatia,ROSHN Saudi League,Al Nassr,,,,,
322,Moisés Caicedo,82,75,63,75,78,79,78,CDM,3,22,Ecuador,Premier League,Chelsea,,,,,
322,Emre Can,82,77,78,74,76,82,86,CDM,3,30,Germany,Bundesliga,Borussia Dortmund,,,,,
322,Marco Carnesecchi,82,84,79,71,85,30,83,GK,1,24,Italy,Serie A Enilive,Bergamo Calcio,84.0,79.0,71.0,83.0,85.0
322,Koen Casteels,82,82,79,74,85,45,83,GK,1,32,Belgium,ROSHN Saudi League,Al Qadisiyah,82.0,79.0,74.0,83.0,85.0
322,Lucas Paquetá,82,72,77,79,85,69,79,LM,5,27,Brazil,Premier League,West Ham,,,,,
322,Ángel Correa,82,85,84,77,86,50,75,ST,4,29,Argentina,LALIGA EA SPORTS,Atlético de Madrid,,,,,
322,Marc Cucurella,82,75,60,80,80,78,76,LB,3,26,Spain,Premier League,Chelsea,,,,,
322,Danilo,82,76,67,74,74,84,77,CB,3,33,Brazil,Serie A Enilive,Juventus,,,,,
322,Otávio,82,78,71,81,85,67,74,CAM,4,29,Portugal,ROSHN Saudi League,Al Nassr,,,,,
322,Diogo Dalot,82,85,63,77,80,79,79,RB,4,25,Portugal,Premier League,Man Utd,,,,,
322,Sergi Darder,82,79,78,82,83,74,77,CM,3,30,Spain,LALIGA EA SPORTS,RCD Mallorca,,,,,
322,Alphonso Davies,82,95,66,77,84,72,76,LB,4,23,Canada,Bundesliga,FC Bayern München,,,,,
322,Giovanni Di Lorenzo,82,83,67,73,76,79,80,RB,3,31,Italy,Serie A Enilive,SSC Napoli,,,,,
322,Brahim,82,85,74,78,85,31,56,CAM,4,25,Morocco,LALIGA EA SPORTS,Real Madrid,,,,,
322,Denzel Dumfries,82,83,66,73,74,78,88,RB,2,28,Holland,Serie A Enilive,Lombardia FC,,,,,
322,Edin Džeko,82,57,82,73,76,45,76,ST,3,38,Bosnia and Herzegovina,Trendyol Süper Lig,Fenerbahçe,,,,,
322,Enzo Fernández,82,69,73,82,80,73,77,CM,3,23,Argentina,Premier League,Chelsea,,,,,
322,Nacho Fernández,82,73,37,68,71,82,79,CB,2,34,Spain,ROSHN Saudi League,Al Qadisiyah,,,,,
322,Gabriel Jesus,82,83,80,75,88,39,77,ST,4,27,Brazil,Premier League,Arsenal,,,,,
322,Jorginho,82,46,67,83,80,73,71,CDM,3,32,Italy,Premier League,Arsenal,,,,,
322,Pau Torres,82,70,41,77,70,83,79,CB,2,27,Spain,Premier League,Aston Villa,,,,,
322,Niclas Füllkrug,82,63,84,71,75,43,81,ST,3,31,Germany,Premier League,West Ham,,,,,
322,Gayà,82,81,61,77,79,78,74,LB,4,29,Spain,LALIGA EA SPORTS,Valencia CF,,,,,
322,Paulo Gazzaniga,82,82,80,83,81,57,82,GK,1,32,Argentina,LALIGA EA SPORTS,Girona FC,82.0,80.0,83.0,82.0,81.0
322,Matthias Ginter,82,54,59,71,66,85,75,CB,2,30,Germany,Bundesliga,SC Freiburg,,,,,
322,Serge Gnabry,82,80,83,78,84,43,66,RM,4,29,Germany,Bundesliga,FC Bayern München,,,,,
322,Anthony Gordon,82,91,78,76,81,49,71,LW,3,23,England,Premier League,Newcastle Utd,,,,,
322,Raphaël Guerreiro,82,63,78,85,88,76,56,LB,4,30,Portugal,Bundesliga,FC Bayern München,,,,,
322,Péter Gulácsi,82,82,82,75,81,43,83,GK,1,34,Hungary,Bundesliga,RB Leipzig,82.0,82.0,75.0,83.0,81.0
322,Fabinho,82,58,69,78,77,80,82,CDM,3,30,Brazil,ROSHN Saudi League,Al Ittihad,,,,,
322,Yangel Herrera,82,64,77,76,78,80,81,CDM,3,26,Venezuela,LALIGA EA SPORTS,Girona FC,,,,,
322,Jonas Hofmann,82,73,79,81,81,64,72,CAM,3,32,Germany,Bundesliga,Leverkusen,,,,,
